seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Myra,Gilbert,37,Kubifi Circle,Vofizwa,KY,25435,$9215.34,GREEN,01/19/1926
2,Brett,Jennings,65,Atusor Circle,Wijikpol,AZ,26212,$9748.44,YELLOW,10/26/2069
3,Ruth,Strickland,45,Epak View,Hutabpot,NJ,58535,$8233.99,BLUE,01/21/1999
4,Susie,Smith,52,Fisur Trail,Jamobara,ND,96458,$8977.66,GREEN,12/13/1963
5,Lucinda,Gardner,58,Tiri Court,Koilcug,MI,96401,$3084.86,YELLOW,07/20/2055
6,Sean,Johnson,54,Bagrop Turnpike,Koiddir,AL,87710,$4924.88,GREEN,10/15/1912
7,Glenn,Cross,40,Kadoz Path,Onecaogi,PA,20815,$1775.21,BLUE,07/08/2022
8,Logan,Johnston,28,Sanse Glen,Owacode,MD,05364,$9862.59,GREEN,01/28/2063
9,Daniel,Byrd,36,Cekko Lane,Kedihola,IN,86943,$3769.98,YELLOW,01/21/1954
10,Jessie,Holloway,49,Beci Square,Warekogu,FL,89144,$7543.32,YELLOW,02/28/2026
11,Gussie,Zimmerman,58,Ijoti Mill,Bahvitolo,MI,58301,$2018.08,WHITE,09/11/2059
12,Randy,Haynes,18,Gibup Park,Bajzusevu,PA,45185,$6013.24,YELLOW,05/04/1921
13,Cynthia,Warren,42,Goses Way,Mapdori,MN,59669,$3175.51,RED,05/10/1961
14,Jane,Wilson,39,Kapza Street,Amiicoju,HI,35389,$2259.97,WHITE,09/29/2047
15,Christina,Hall,35,Zuwagi Ridge,Nepesij,AZ,78513,$836.40,WHITE,04/26/2043
16,Lulu,Brown,19,Degze Extension,Rerwicwaj,AZ,04687,$2208.76,YELLOW,05/30/2027
17,Derek,Gordon,50,Vina Place,Recagru,NC,24115,$4587.20,WHITE,01/25/1946
18,Wesley,Wise,61,Kucdic Plaza,Odoipig,NY,32544,$1429.55,BLUE,06/29/1967
19,Shane,Owen,53,Zejeti View,Dezewve,MI,04020,$7915.25,YELLOW,06/18/1927
20,Jeremy,Lambert,19,Ebwub Boulevard,Bolrihdew,NJ,43397,$239.45,RED,06/22/1920
21,Bruce,Guzman,32,Zutub Key,Jifhufoh,WI,16282,$1715.45,GREEN,08/11/1964
22,Jackson,Murray,23,Wubro Highway,Ezhaco,AL,11363,$1305.48,GREEN,03/07/1949
23,Amelia,Clarke,44,Citgu Parkway,Siwime,WA,32217,$7138.92,WHITE,10/16/2048
24,Frederick,Mendez,51,Ecfa River,Sofigra,AR,02948,$3703.51,GREEN,06/25/1916
25,Cecilia,Atkins,25,Piawa Path,Amehiku,VA,48299,$2658.84,BLUE,11/02/2058
26,Estella,Sullivan,22,Ziwu Plaza,Romohab,CT,78427,$2931.36,GREEN,12/20/1968
27,Amanda,Jones,49,Finzes Square,Wenopurew,HI,89137,$1386.66,WHITE,04/03/1948
28,Noah,Quinn,55,Ugomom Square,Jovaisi,NE,80856,$9905.97,WHITE,01/24/1990
29,Henrietta,Yates,37,Ahuop Circle,Zaiccov,CA,71457,$5109.81,RED,09/01/1916
30,Charlie,Dean,59,Ifesew Terrace,Zaaguko,AR,66396,$1365.77,YELLOW,02/17/2048
31,Jayden,Jenkins,29,Tupbo Plaza,Bujefu,GA,79252,$1011.42,BLUE,07/16/1980
32,Michael,Curry,37,Peno Avenue,Muumomel,MA,84929,$2864.69,RED,08/18/2047
33,Elmer,Harvey,59,Apuwuw Way,Foobasu,NE,52388,$3609.86,RED,01/10/2067
34,Lena,Drake,46,Diconu River,Duzjaja,AZ,17376,$2807.81,GREEN,09/10/2020
35,Rosie,Thomas,20,Hoscet Parkway,Maivive,AZ,92583,$6059.03,GREEN,06/07/1915
36,Elva,Wong,44,Iruno Extension,Bisavit,HI,16500,$1552.32,GREEN,09/02/1953
37,Essie,Schultz,51,Fuezo Heights,Nazooru,DE,30881,$4891.17,BLUE,04/12/2036
38,Henrietta,Higgins,58,Juplag Avenue,Mifotpet,NY,55305,$1691.50,YELLOW,03/20/1927
39,Isabelle,Sanders,33,Merol Pike,Velurwo,NV,00675,$9010.64,GREEN,01/25/2015
40,Brent,Castillo,38,Urnon Junction,Larimzi,OR,58665,$2164.93,WHITE,01/12/1929
41,Randy,Hogan,57,Odug Pike,Iwzazahu,SC,17402,$9610.12,GREEN,09/25/2044
42,Ray,Thornton,40,Gojgir Center,Ropemze,ME,02134,$5507.73,BLUE,09/25/1905
43,Garrett,Leonard,34,Woehe Circle,Avafihdej,MS,31632,$6005.89,RED,07/15/2024
44,Hattie,Sutton,45,Deuku Glen,Powkewtiv,NC,99037,$4634.36,GREEN,04/19/2011
45,Dollie,Todd,56,Sagjuk Trail,Gujjilog,SC,60098,$8626.19,YELLOW,08/08/1952
46,Herman,French,64,Webzu Road,Ofojekpip,MD,41574,$6775.51,WHITE,07/10/1945
47,Dennis,Ruiz,34,Nuguda Circle,Mikgubce,TN,21753,$3805.43,BLUE,08/21/1901
48,Mildred,Knight,30,Diik Drive,Cejjori,WI,34770,$9044.78,RED,06/16/1979
49,Christopher,Snyder,24,Ebli Mill,Ovjevi,ND,57610,$2169.13,YELLOW,06/14/1976
50,Beatrice,Clayton,23,Ikoij Mill,Lahama,IA,50702,$332.75,YELLOW,07/29/2014
51,Janie,Pena,19,Lapak Square,Arkuaf,KY,51177,$7909.64,WHITE,01/25/1946
52,Mario,Allen,29,Ufjib Junction,Ceobejul,ND,13924,$1190.64,RED,03/18/1901
53,Willie,Kim,49,Biwij Junction,Zamoginaz,PA,03335,$8948.51,RED,08/15/1955
54,Matthew,Miles,43,Kefic Grove,Agcewci,MS,20222,$8263.70,GREEN,02/11/2049
55,Lois,Duncan,63,Buig Plaza,Wiblitfa,TN,86600,$552.43,RED,05/27/1972
56,Landon,Wade,50,Lofa Plaza,Bojegavi,NC,75675,$6677.32,GREEN,08/12/1989
57,Bettie,Wolfe,27,Sekof Highway,Cisado,AZ,35326,$4139.43,BLUE,10/26/1922
58,Catherine,Lyons,40,Kulad Center,Demduvdi,OR,32338,$9040.48,BLUE,10/13/2068
59,Randall,Stephens,40,Sasol Terrace,Giawma,FL,70753,$8429.31,GREEN,08/01/2061
60,Mildred,Sanders,43,Rezzen Place,Digamen,UT,33686,$3141.18,RED,09/12/1910
61,Phillip,Adams,51,Owaku Point,Nohalij,WV,98570,$4634.71,WHITE,02/01/2017
62,Mark,Payne,33,Edvi Park,Hijiknoz,TX,82284,$7569.49,RED,09/30/2066
63,Daniel,Fox,46,Etosu Place,Ilatoaba,WA,45990,$3580.75,YELLOW,04/11/1944
64,John,French,28,Olainu Boulevard,Amcofi,AL,22655,$4631.04,RED,05/21/1983
65,Elijah,Hawkins,28,Wawnac Drive,Vaasugel,NY,57761,$3398.06,YELLOW,11/05/1973
66,Theodore,Rodriguez,43,Sofane Manor,Tihuhaw,DC,18557,$5103.47,YELLOW,09/03/2056
67,Esther,Greer,27,Hiwhan Boulevard,Utaropi,WY,93254,$8786.88,GREEN,07/27/2001
68,Della,McKinney,34,Ozeda Parkway,Bofjuip,OR,85221,$9637.34,RED,06/15/1913
69,Marguerite,King,57,Weavu Grove,Lekehu,MT,39552,$6184.23,WHITE,11/03/1970
70,Rhoda,Harris,65,Esitij Lane,Dumedcow,KS,78311,$7729.20,YELLOW,05/23/2038
71,Josephine,Boone,53,Voore Court,Silujih,DE,97328,$8523.37,WHITE,07/06/1911
72,Maud,Drake,29,Nopap Park,Vezcakle,KY,69469,$6269.21,BLUE,07/14/1971
73,Chase,Zimmerman,40,Runawa Pass,Suhvebmo,OR,44943,$1947.39,WHITE,04/06/1968
74,Rosie,Reynolds,33,Vakgic Junction,Asawidpaw,NE,26137,$4870.69,BLUE,09/29/1961
75,Arthur,Sullivan,54,Ofezez Pike,Doksellu,NJ,32232,$3476.32,WHITE,11/01/1929
76,Bernice,Hubbard,43,Zunsu Extension,Levipugut,MA,00360,$5784.51,WHITE,07/11/2039
77,Darrell,May,30,Lesri Road,Howojut,AK,53568,$7531.94,RED,01/10/2062
78,Jacob,Gray,39,Warful Extension,Imemamdo,RI,21236,$7259.17,RED,02/23/2061
79,Lena,Ramos,62,Wonke Drive,Acasesaj,UT,85801,$980.77,RED,12/07/1986
80,Mark,Bowen,48,Feome Drive,Dovsinu,CA,74284,$206.03,RED,02/19/2046
81,Etta,Warner,52,Mevas Terrace,Ugbilif,AL,76114,$2996.23,GREEN,12/27/1911
82,Marcus,Knight,36,Upease Road,Kanupgok,WV,39059,$4905.19,GREEN,05/10/1916
83,Hilda,Richardson,33,Ednud Boulevard,Cirevcuv,MO,09158,$5149.73,WHITE,09/03/1912
84,Darrell,Marshall,54,Locak Path,Tatelri,RI,91642,$1660.51,BLUE,03/26/2013
85,Henry,Collier,64,Veit Manor,Vowaju,IN,15539,$7877.79,BLUE,01/29/2012
86,Lloyd,Chapman,45,Vomuso Path,Herutkap,AR,84492,$6814.16,BLUE,11/29/1922
87,Leo,Pittman,39,Kuli Pike,Dumisvo,MS,58748,$5133.61,YELLOW,03/21/1939
88,Noah,Jacobs,45,Radku River,Bezotom,ME,76163,$727.26,BLUE,12/14/1984
89,Chase,Manning,38,Ruvku Place,Ublevli,NV,74426,$9704.62,GREEN,01/27/1900
90,Lilly,Lowe,23,Zuju Avenue,Oretalep,DC,46658,$6396.24,WHITE,12/01/2050
91,Cynthia,Nguyen,60,Zimul Court,Susdulkiw,SC,39568,$5060.55,GREEN,03/26/1989
92,Kenneth,Pena,64,Tezhu Square,Ocatodbu,VT,77809,$8351.38,WHITE,12/15/1918
93,Mitchell,Daniels,63,Zewe Point,Dumidtoj,CT,01281,$2024.83,YELLOW,11/06/1976
94,Lloyd,Norton,18,Luhdus River,Rukzagop,VA,59986,$391.56,RED,04/23/2012
95,Jessie,Gomez,24,Sidpes Loop,Papdaso,KS,84785,$6990.24,GREEN,04/04/2041
96,Jeremiah,Bradley,55,Fefu Junction,Fiwolze,TN,30074,$5037.86,YELLOW,04/09/1920
97,Loretta,Chandler,59,Otdej Ridge,Cokoani,WI,81924,$5448.25,WHITE,03/14/1940
98,Joshua,Weber,44,Lolho Drive,Ubfubme,ID,54268,$714.56,WHITE,12/17/1947
99,Celia,Maxwell,30,Tinrir Lane,Sibizuw,DE,64064,$2533.87,GREEN,10/24/1914
100,Maud,Owens,21,Rihav View,Jagopazu,KS,92744,$2125.74,GREEN,10/23/2054
101,Marvin,Garza,51,Doriza Parkway,Dabtahwop,NJ,76330,$5236.47,WHITE,10/03/2013
102,Jeffrey,Gardner,64,Camala River,Regicis,AL,69338,$3720.97,RED,04/04/2012
103,Clayton,Barrett,62,Ujwe Key,Vumhenuh,AL,38341,$1441.28,BLUE,11/23/1963
104,Gene,Miles,65,Jejjir River,Heawpa,TN,83264,$3990.11,RED,11/12/2047
105,Tony,Ray,42,Mina Parkway,Agsuoj,VT,78299,$7328.68,RED,10/14/1994
106,Adrian,Gomez,23,Wuzel Path,Rekfomki,HI,84537,$8211.26,YELLOW,02/01/1911
107,Janie,Martin,22,Gudu Way,Kohugsan,GA,23078,$1043.53,BLUE,07/25/1939
108,Anthony,Blair,51,Ovsut Turnpike,Gabovuta,RI,13842,$7461.96,YELLOW,04/04/1968
109,Nathaniel,Miles,45,Tosvin Turnpike,Hubneuza,MD,79023,$4399.69,YELLOW,04/09/2056
110,Elijah,Reeves,28,Miroku Key,Tucvevbe,IN,70963,$8883.47,BLUE,08/03/2014
